;"BORDEAUX BLENDS SASU
24, QUAI DES CHARTRONS
33000 BORDEAUX
Tel: +33 (0)5 57 00 87 07";;;;;;;;;;;;;;;
;"All Prices given EX-CELLAR BORDEAUX - Upon Final Confirmation of Availability
BORDEAUX BLENDS S/E ZIEGLER WS (Warehouse), 22 Rue Saint Exupéry, PA des LACS, Multi VI & VII 33290 Blanquefort, France";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;Vin / Wine;Mill./Vintage;Appellation;Classement;Format;Condit. Packing;Quantité / Quantity; EXW Price ;WA;WS;JS;;;;;
;Château SMITH HAUT LAFITTE;2020;Pessac Léognan;;75 cl;OWC;18; 112,00 € ;;;;;;;;
;Château DUCRU BEAUCAILLOU;2019;Saint Julien;Domaines DELON;75 cl;;60; 180,00 € ;;;;RFSE;;;;
;Château LEOVILLE LAS CASES;2015;Saint Julien;Domaines DELON;75 cl;;120; 185,00 € ;;;;RFSE;;;;
;Château LEOVILLE LAS CASES;2017;Saint Julien;Domaines DELON;75 cl;;120; 155,00 € ;;;;RFSE;;;;
;Château LEOVILLE LAS CASES;2019;Saint Julien;Domaines DELON;75 cl;;36; 220,00 € ;;;;RFSE;;;;
;Château TERREY GROS CAILLOUX;2000;Saint Julien;;75 cl;OWC12;24; 19,90 € ;;;;;;;;
;Clos du MARQUIS;2018;Saint-Julien;Domaines DELON;75 cl;OWC6 Flat;84; 45,00 € ;;;94-95;94 WE, 92 JMQ, 91 Decanter;;;;
;Clos RENE;2003;Pomerol;;75 cl;OWC12 CRD;60; 28,50 € ;;;;;;;;
;DEFI Château FONTENIL;2000;VDF;;75 cl;OWC12;12; 45,00 € ;;;;;;;;
;G de GUIRAUD;2020;Bordeaux Blanc;Château GUIRAUD;75 cl;CT6 Flat;48; 7,90 € ;;;;;;;;
;Girolate;2018;Bordeaux ;;75 cl;CB6 Flat;6; 35,00 € ;;;;;;;;
;Les Arums de LAGRANGE;2016;Bordeaux Blanc;Château LAGRANGE;75 cl;OWC6 CRD;6; 15,60 € ;;;;;;;;
;Les Arums de LAGRANGE;2016;Bordeaux Blanc;Château LAGRANGE;75 cl;OWC6 CRD;6; 15,60 € ;;;;;;;;
;Les Arums de LAGRANGE;2016;Bordeaux Blanc;Château LAGRANGE;75 cl;OWC6 ACQ;12; 15,60 € ;;;;;;;;
;OPUS ONE;2018;Napa Valley;;75 cl;;60; 285,00 € ;;;;RFSE;;;;
;Domaine BOUCHARD;2017;Meursault Les Clous;Burgundy;75 cl;CTx6;24; 28,50 € ;;;;;;;;
;Domaine Denis BACHELET;2015;Gevrey Chambertin Les Evocelles;Burgundy;75 cl;CTx6;6; 175,00 € ;;;;;;;;
;Domaine Joseph DROUHIN;2007;Batard Montrachet;Burgundy;75 cl;CT6;6; 250,00 € ;;;;;;;;
;Domaine LAMARCHE;2015;La Grande Rue;Burgundy;75 cl;UNITE;3; 495,00 € ;;;;;;;;
;Domaine Michel BOUZEREAU;2015;Bourgogne Rouge;Burgundy;75 cl;CT6;60; 16,50 € ;;;;;;;;
;Domaine Robert GROFFIER;2011;Chambolle Musgny 1er Cru Les Sentiers;Burgundy;75 cl;UNITE;4; 128,00 € ;;;;;;;;
;Domaine de la ROMANEE CONTI;1975;Romanée Conti ;Burgundy;75 cl;UNITE;1; 7 900,00 € ;;;;Damaged - Check Photo;;;;
;Clos des PAPES;2018;Châteauneuf du Pape Blanc;Rhone;75 cl;CBOx6;6; 55,00 € ;;;;;;;;
;ALMAVIVA;2016;Valle del Maipo Chile;Chile;150 cl;CBOx1;6; 290,00 € ;;;;RFSE;;;;
;"IXSIR - ""EL""";2011;Lebanon;Lebanon;75 cl;CT6;168; 25,50 € ;91;;;;;;;
