JOSMEYER ALSACE GRAND CRU RIESLING HENGST SAMAIN;2014;BO;50;12;UNITE;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU ALTENBERG DE BERGHEIM;2003;BO;60;1;UNITE;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU ALTENBERG DE BERGHEIM;2006;BO;80;1;UNITE;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU ALTENBERG DE BERGHEIM;2007;BO;80;1;UNITE;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU ALTENBERG DE BERGHEIM;2007;BO;80;1;UNITE;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU ALTENBERG DE BERGHEIM;2008;BO;80;2;UNITE;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU ALTENBERG DE BERGHEIM;2015;BO;58;20;CBO12;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU MAMBOURG;2008;BO;60;2;UNITE;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU MAMBOURG;2015;BO;65;5;UNITE;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU PINOT NOIR BERGHEIM BURLENBERG VIEILLES VIGNES;1985;BO;100;1;UNITE;Verif CDT 
MARCEL DEISS ALSACE GRAND CRU SCHOENENBOURG;2013;BO;60;24;CBO12;Verif CDT 
OSTERTAG ALSACE GRAND CRU RIESLING MUENCHBERG;2018;BO;35;1;UNITE;Verif CDT 
SCHLUMBERGER ALSACE GRAND CRU RIESLING SAERING;2006;BO;40;3;UNITE;Verif CDT 
TRAPET ALSACE GRAND CRU RIESLING SCHLOSSBERG;2010;BO;45;7;UNITE;Verif CDT 
TRAPET ALSACE GRAND CRU RIESLING SCHOENENBOURG;2013;BO;44;1;UNITE;Verif CDT 
WEINBACH ALSACE GRAND CRU PINOT GRIS ALTENBOURG;2019;BO;33;2;UNITE;Verif CDT 
WEINBACH ALSACE GRAND CRU TOKAY PINOT GRIS ALTENBOURG QUINTESSENCE DE GRAINS NOBLES CUVEE D'OR;1983;DE;500;2;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU GEWURZTRAMINER GOLDERT;1996;BO;85;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU GEWURZTRAMINER GOLDERT;1999;BO;80;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU GEWURZTRAMINER GOLDERT;2001;BO;90;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU GEWURZTRAMINER HENGST;1996;BO;75;2;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU GEWURZTRAMINER HENGST;1997;BO;65;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU GEWURZTRAMINER HENGST;2000;BO;75;2;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU GEWURZTRAMINER HENGST;2004;BO;55;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU GEWURZTRAMINER RANGEN DE THANN CLOS SAINT URBAIN;1999;BO;85;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU GEWURZTRAMINER RANGEN DE THANN CLOS SAINT URBAIN;2002;BO;85;1;UNITE;Verif CDT 
ZIND HUMBRECHT ALSACE GRAND CRU PINOT GRIS RANGEN DE THANN CLOS SAINT URBAIN;1995;BO;95;2;UNITE;Verif CDT 
